,titulo,enlace,ubicacion,zona,precio_publicado,precio_pesos,terreno_m2,construidos_m2,cuartos,banos,estacionamiento,contacto
295,Excelente Departamento Frente Al Mar de 4 Recamaras y 4 Baños en Zona Hotelera Cancun en Portofino D,https://www.inmuebles24.com/propiedades/excelente-departamento-frente-al-mar-de-4-recamaras-y-56212731.html,"Excelente Departamento Frente al mar de 4 Recamaras y 4 Baños en Zona Hotelera Cancun en Portofino de Super Lujo,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 1,295,000",24009300.0,286,286,4,,,56212731
296,Espectacular Departamento / Spectacular Apartment,https://www.inmuebles24.com/propiedades/espectacular-departamento-spectacular-apartment-54790009.html,"Kilometro 9,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 950,000",17613000.0,214,214,2,,2,54790009
297,Departamento en Venta en Cancún Zona Hotelera,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-cancun-zona-hotelera-57036826.html,"Departamento en Venta en Cancún Zona Hotelera,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 1,600,000",29664000.0,292,292,3,,,57036826
298,Departamento en Venta y Renta en Cancun en Residencial Peninsula Semiamueblado Frente Al Mar,https://www.inmuebles24.com/propiedades/departamento-en-venta-y-renta-en-cancun-en-residencial-55494996.html,"Península,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 399,000",7397460.0,168,168,2,,1,55494996
299,Pre Venta Departamentos Frente Al Mar en Cancún,https://www.inmuebles24.com/propiedades/pre-venta-departamentos-frente-al-mar-en-cancun-53782352.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 630,000",11680200.0,170,170,2,,1,53782352
300,"Penthouse Venta Lujo 3 Recamaras Vista a La Laguna en Isla Dorada, Cancún Zona Hotelera",https://www.inmuebles24.com/propiedades/penthouse-venta-lujo-3-recamaras-vista-a-la-laguna-en-56371266.html,"Penthouse Venta Lujo 3 Recamaras Vista a la Laguna en Isla Dorada, Cancún Zona Hotelera,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 615,000",11402100.0,290,290,3,,2,56371266
301,En Venta Lujoso Departamento en Zona Hotelera Cancún con Alberca,https://www.inmuebles24.com/propiedades/en-venta-lujoso-departamento-en-zona-hotelera-cancun-53631731.html,"ZONA HOTELERA, CANCUN QUINTANA ROO,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 3,000,000",55620000.0,750,750,4,,4,53631731
302,Departamento - Zona Hotelera,https://www.inmuebles24.com/propiedades/departamento-zona-hotelera-56440049.html,"En Venta Exclusivo PH en Isla Dorada Cancún C2536,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 8,490,000",8490000.0,260,260,5,,2,56440049
303,Departamento en Venta en Cancun Zona Hotelera,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-cancun-zona-hotelera-57037626.html,"Departamento en Venta en Cancun Zona Hotelera,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 2,200,000",40788000.0,282,282,3,,2,57037626
304,Exceptional Departamento en Lahia / Exceptional Apartment in Lahia,https://www.inmuebles24.com/propiedades/exceptional-departamento-en-lahia-exceptional-54630779.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 1,600,000",29664000.0,290,290,3,,2,54630779
305,Departamento en Venta en Zona Hotelera Cancun Bayviewgrand,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-zona-hotelera-cancun-56712615.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 700,000",12978000.0,500,500,3,,,56712615
306,Departamento en Pre - Venta Puerto Cancun,https://www.inmuebles24.com/propiedades/departamento-en-pre-venta-puerto-cancun-57303135.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 15,987,240",15987240.0,244,244,3,,2,57303135
307,"Oportunidad Estrene Departamento en El Mar de Cancun 3 Rec $6,950,000 Pesos",https://www.inmuebles24.com/propiedades/oportunidad-estrene-departamento-en-el-mar-de-cancun-3-53555396.html,"l Peninsula Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 6,950,000",6950000.0,180,166,3,,1,53555396
308,Departamento Oleo Cancun,https://www.inmuebles24.com/propiedades/departamento-oleo-cancun-56021330.html,"Departamento Oleo Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 330,000",6118200.0,48,,1,,,56021330
309,Departamento en Venta Marea Puerto Cancún,https://www.inmuebles24.com/propiedades/departamento-en-venta-marea-puerto-cancun-56808969.html,"Departamento en Venta Marea Puerto Cancún,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 13,623,646",13623646.0,,,3,,3,56808969
310,Departamento en Venta en Allure Puerto Cancun con Vista Al Mar,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-allure-puerto-cancun-con-55380140.html,"Allure Puerto Cancún,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 15,300,000",15300000.0,308,308,3,,2,55380140
311,Departamento en Venta en Allure Puerto Cancún,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-allure-puerto-cancun-56327859.html,"Departamento en Venta en Allure Puerto Cancún,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 17,940,503",17940503.0,314,314,3,,,56327859
312,"Departamentos en Puerto Cancún, Preventa, La Mejor Inversión de Lujo!",https://www.inmuebles24.com/propiedades/departamentos-en-puerto-cancun-preventa-la-mejor-56692363.html,"´puerto cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 692,220",12833758.799999999,115,115,3,,,56692363
313,Puerto Cancun: Listo Para Estrenar 2 a 4 Recamaras / Brand New 2 To 4 Bedrooms,https://www.inmuebles24.com/propiedades/puerto-cancun:-listo-para-estrenar-2-a-4-recamaras-55284280.html,"Puerto Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 12,003,609",12003609.0,209,209,2,,2,55284280
314,"Blvd. Kukulcan, Km1.5, Zona Hotelera, Cancun, Q. Roo, Mexico. 77500,",https://www.inmuebles24.com/propiedades/blvd.-kukulcan-km1.5-zona-hotelera-cancun-q.-roo-54132232.html,"Blvd. Kukulcan, Km1.5, Zona Hotelera, Cancun, Q. Roo, Mexico.,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 11,280,000",11280000.0,280,280,3,,2,54132232
