,titulo,enlace,ubicacion,zona,precio_publicado,precio_pesos,terreno_m2,construidos_m2,cuartos,banos,estacionamiento,contacto
451,Departamento en Venta en Zona Hotelera,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-zona-hotelera-56829745.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 8,810,959",8810959.0,172,172,2,,,56829745
452,Allure,https://www.inmuebles24.com/propiedades/allure-56561222.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 12,060,799",12060799.0,210,210,2,,2,56561222
453,Departamento en Venta Torre Laguna,https://www.inmuebles24.com/propiedades/departamento-en-venta-torre-laguna-56327901.html,"Departamento en Venta Torre Laguna,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 194,101",3598632.54,73,73,1,,,56327901
454,Espectacular Departamento en Las Olas Residence & Spa,https://www.inmuebles24.com/propiedades/espectacular-departamento-en-las-olas-residence-amp-56650296.html,"Blvd. Kukulkan,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 2,500,000",46350000.0,320,320,3,,2,56650296
455,Excelente Oportunidad de Inversion Frente Al Mar,https://www.inmuebles24.com/propiedades/excelente-oportunidad-de-inversion-frente-al-mar-56169492.html,"Excelente Oportunidad de Inversion Frente al mar,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 350,000",6489000.0,140,140,3,,,56169492
456,Departamento en Venta Cancun Torre Laguna Isla Dorada,https://www.inmuebles24.com/propiedades/departamento-en-venta-cancun-torre-laguna-isla-dorada-56838832.html,"Departamento en Venta Cancun Torre Laguna Isla Dorada,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 175,969",3262465.26,68,68,3,,2,56838832
457,Estrena en X Towers Puerto Cancun Departamento de Lujo,https://www.inmuebles24.com/propiedades/estrena-en-x-towers-puerto-cancun-departamento-de-lujo-57268333.html,"X TOWERS Puerto Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 13,450,000",13450000.0,256,256,3,,2,57268333
458,Departamento Torre Laguna en Venta Zona Hotelera,https://www.inmuebles24.com/propiedades/departamento-torre-laguna-en-venta-zona-hotelera-56327873.html,"Departamento Torre Laguna en Venta Zona Hotelera,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 194,434",3604806.36,75,75,1,,,56327873
459,Venta Departamento Sm 16 Cancun,https://www.inmuebles24.com/propiedades/venta-departamento-sm-16-cancun-56382639.html,"Venta Departamento SM 16 Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 2,950,000",2950000.0,95,95,2,,,56382639
460,"Oportunidad Depto en Vta Betowers Pto Cancun 3 Rec 3.5 Baños Piso 16, 280 m²",https://www.inmuebles24.com/propiedades/oportunidad-depto-en-vta-betowers-pto-cancun-3-rec-3.5-55877642.html,"be towers,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 11,500,000",11500000.0,280,280,3,,2,55877642
461,"Zona Hotelera, Departamento Frente Mar Venta",https://www.inmuebles24.com/propiedades/zona-hotelera-departamento-frente-mar-venta-54913575.html,"Blv. Kukulcan,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 450,000",8343000.0,320,320,3,,2,54913575
462,"Departamentos en Venta Brezza Towers Cancun, Quintana Roo",https://www.inmuebles24.com/propiedades/departamentos-en-venta-brezza-towers-cancun-quintana-53461601.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 5,875,000",5875000.0,190,190,3,,,53461601
463,Se Vende Departamento Amueblado en Zona Hotelera de Cancún,https://www.inmuebles24.com/propiedades/se-vende-departamento-amueblado-en-zona-hotelera-de-56291398.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 1,350,000",1350000.0,52,52,1,,1,56291398
464,"Departamento en Venta en Zona Hotelera, Cancún",https://www.inmuebles24.com/propiedades/departamento-en-venta-en-zona-hotelera-cancun-56283010.html,"Departamento en Venta en Zona Hotelera, Cancún,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 3,200,000",3200000.0,93,93,2,,2,56283010
465,"Condominio de 3 Recamaras en La Mejor Zona, Cancun",https://www.inmuebles24.com/propiedades/condominio-de-3-recamaras-en-la-mejor-zona-cancun-53400241.html,"Antonio Enríquez Savignac, Zona Hotelera, Cancún,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 6,600,000",6600000.0,190,190,3,,,53400241
466,Preventa Departamentos Puerto Cancún (Dic 2018)d,https://www.inmuebles24.com/propiedades/preventa-departamentos-puerto-cancun-dic-2018-d-52364179.html,"Puerto Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 9,600,000",9600000.0,193,193,3,,2,52364179
467,Departamento Sls Harbour Beach Vista Frente Al Mar Puerto Cancún - Cancún,https://www.inmuebles24.com/propiedades/departamento-sls-harbour-beach-vista-frente-al-mar-56441659.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 13,000,000",13000000.0,170,170,2,,2,56441659
468,Departamento en Venta en Cancun Zona Hotelera,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-cancun-zona-hotelera-57037650.html,"Departamento en Venta en Cancun Zona Hotelera,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 1,300,000",24102000.0,285,285,4,,,57037650
469,Excelente Departamento Frente Al Mar en Porto Fino en Zona Hotelera Cancun,https://www.inmuebles24.com/propiedades/excelente-departamento-frente-al-mar-en-porto-fino-en-56212694.html,"Excelente Departamento Frente al Mar en Porto Fino en Zona Hotelera Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 700,000",12978000.0,179,179,2,,,56212694
470,Departamento en Venta en Cancun en Sls Cancun Frente Al Mar Re Venta,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-cancun-en-sls-cancun-frente-55950611.html,"SLS Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 39,000,000",39000000.0,260,260,3,,2,55950611
471,Condominio de Lujo en Venta en Puerto Cancun,https://www.inmuebles24.com/propiedades/condominio-de-lujo-en-venta-en-puerto-cancun-57273397.html,"Puerto Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 9,999,000",9999000.0,206,206,3,,1,57273397
472,"Departamento en Venta en Cancún, Allure Condos.",https://www.inmuebles24.com/propiedades/departamento-en-venta-en-cancun-allure-condos.-56809068.html,"Departamento en Venta en Cancún, Allure Condos.,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 20,191,501",20191501.0,,,4,,2,56809068
473,Departamento - Zona Hotelera,https://www.inmuebles24.com/propiedades/departamento-zona-hotelera-56434747.html,"Departamento en Venta Cancun  Bay View Grand Zona Hotelera,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 850,000",15759000.0,193,193,3,,1,56434747
474,¡Ideal Para Inversionistas y Ejecutivos! / Ideal For Investors And Executives!,https://www.inmuebles24.com/propiedades/-ideal-para-inversionistas-y-ejecutivos!-ideal-for-55442847.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 175,969",3262465.26,75,75,1,,1,55442847
475,Departamento con 2 Habitaciones de Lujo en Puerto Cancun,https://www.inmuebles24.com/propiedades/departamento-con-2-habitaciones-de-lujo-en-puerto-52511312.html,"Puerto Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 10,097,000",10097000.0,187,187,2,,1,52511312
476,Departamento en Venta en Cancun Towers,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-cancun-towers-56472844.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 6,400,000",6400000.0,180,180,2,,2,56472844
477,Preventa Puerto Cancun Shark Tower Departamentos Plusvalía,https://www.inmuebles24.com/propiedades/preventa-puerto-cancun-shark-tower-departamentos-53502296.html,"Puerto Cancún,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 470,000",8713800.0,1000,1000,1,,,53502296
478,Lindos Departamentos en Venta en Puerto Cancun,https://www.inmuebles24.com/propiedades/lindos-departamentos-en-venta-en-puerto-cancun-56403803.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún",MN 1,1.0,200,200,3,,2,56403803
479,Lujoso Condominio en Puerto Cancun con Vista a La Laguna,https://www.inmuebles24.com/propiedades/lujoso-condominio-en-puerto-cancun-con-vista-a-la-53590749.html,"puerto cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 14,698,802",14698802.0,293,293,3,,1,53590749
480,Venta de Espectacular Penthouse en Cancun,https://www.inmuebles24.com/propiedades/venta-de-espectacular-penthouse-en-cancun-56735510.html,"Residencial Isola,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 14,000,000",14000000.0,240,240,4,,3,56735510
481,Excelente Opcion en un Lugar Inmejorable!,https://www.inmuebles24.com/propiedades/excelente-opcion-en-un-lugar-inmejorable!-54859176.html,"El table,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 3,300,000",3300000.0,72,72,1,,,54859176
482,Penthouse de Lujo en Punta Dorada,https://www.inmuebles24.com/propiedades/penthouse-de-lujo-en-punta-dorada-56428486.html,"Isla Dorada,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 8,900,000",8900000.0,207,207,4,,2,56428486
483,Departamento en Pre Venta Brezza Towers Cancun Quintana Roo,https://www.inmuebles24.com/propiedades/departamento-en-pre-venta-brezza-towers-cancun-56298782.html,"Departamento EN PRE Venta Brezza Towers Cancun Quintana ROO,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 5,300,000",5300000.0,140,140,2,,,56298782
484,Departamento con Vista Al Mar en Venta en Cancún,https://www.inmuebles24.com/propiedades/departamento-con-vista-al-mar-en-venta-en-cancun-55337817.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 13,641,008",13641008.0,238,238,3,,2,55337817
485,Departamento en Venta en Exclusivo Condominio Frente Al Mar Zona Hotelera Cancún,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-exclusivo-condominio-frente-56371358.html,"Departamento en Venta en Exclusivo Condominio Frente al Mar Zona Hotelera Cancún,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 1,200,000",22248000.0,300,300,2,,2,56371358
486,Departamento en Venta en Zona Hotelera,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-zona-hotelera-55130732.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 14,500,000",14500000.0,256,256,3,,2,55130732
487,"Departamento en Venta Torre Laguna, Cancún, Zona Hotelera.",https://www.inmuebles24.com/propiedades/departamento-en-venta-torre-laguna-cancun-zona-56809089.html,"Departamento en Venta Torre Laguna, Cancún, Zona Hotelera.,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 179,343",3325019.2199999997,,,1,,1,56809089
488,"Penthouse en El Table en Villa Alta / Penthouse in El Table, in Villa Alta",https://www.inmuebles24.com/propiedades/penthouse-en-el-table-en-villa-alta-penthouse-in-el-55426611.html,"El table,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 4,900,000",4900000.0,178,178,2,,2,55426611
489,"Departamento en Venta Torre Laguna, Cancún, Zona Hotelera.",https://www.inmuebles24.com/propiedades/departamento-en-venta-torre-laguna-cancun-zona-56809134.html,"Departamento en Venta Torre Laguna, Cancún, Zona Hotelera.,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 176,812",3278094.48,,,1,,,56809134
490,Departamento en Venta en Zona Hotelera,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-zona-hotelera-55047187.html,"Boulevard Kukulkan  #01,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 460,000",8528400.0,189,189,2,,2,55047187
491,Departamento Bay View Grand Cancùn,https://www.inmuebles24.com/propiedades/departamento-bay-view-grand-cancun-56021319.html,"Departamento Bay View Grand Cancùn,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 780,000",14461200.0,240,240,3,,2,56021319
492,Antaal Puerto Cancun,https://www.inmuebles24.com/propiedades/antaal-puerto-cancun-56523450.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 13,401,834",13401834.0,206,206,3,,2,56523450
493,"Departamento en Venta en Villas Marlin Frente Al Mar, Cancun.",https://www.inmuebles24.com/propiedades/departamento-en-venta-en-villas-marlin-frente-al-mar-56975149.html,"Departamento en Venta Frente al mar en  Villas Marlin, Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 330,000",6118200.0,122,188,3,,2,56975149
494,Venta de Departamento Residencial Peninsula Vistal Al Mar Zona Hotelera,https://www.inmuebles24.com/propiedades/venta-de-departamento-residencial-peninsula-vistal-al-56281463.html,"Torre peninsula,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 680,000",12607200.0,168,168,3,,1,56281463
495,Departamento en Venta en Zona Hotelera,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-zona-hotelera-54952880.html,"Boulevard Kukulkan #1,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 695,000",12885300.0,190,190,2,,2,54952880
496,Amplio Departamento en Novo Cancun - Puerto Cancún,https://www.inmuebles24.com/propiedades/amplio-departamento-en-novo-cancun-puerto-cancun-56361463.html,"Amplio Departamento en Novo Cancun- Puerto Cancún,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 1,400,000",25956000.0,478,478,4,,,56361463
497,Departamento en Venta en Cancún Zona Hotelera,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-cancun-zona-hotelera-57036913.html,"Departamento en Venta en Cancún Zona Hotelera,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 700,000",12978000.0,240,240,3,,2,57036913
498,"Departamento Venta T1 Marea Cancun $8,810,959 Ginmed E1",https://www.inmuebles24.com/propiedades/departamento-venta-t1-marea-cancun-$8-810-959-ginmed-55171758.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 8,810,959",8810959.0,172,172,2,,,55171758
499,Departamento - Zona Hotelera,https://www.inmuebles24.com/propiedades/departamento-zona-hotelera-56732062.html,"Km 5 Av, Kukulcán,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 250,000",4635000.0,,,1,,,56732062
500,Lujoso Penthouse Junto Al Mar en Cancun,https://www.inmuebles24.com/propiedades/lujoso-penthouse-junto-al-mar-en-cancun-56041563.html,"Bay View Grand Lujoso Penthouse de 5 Estrellas Frente al Mar en Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 2,700,000",50058000.0,495,495,4,,2,56041563
501,Condo en Venta en Sky Puerto Cancun C2322,https://www.inmuebles24.com/propiedades/condo-en-venta-en-sky-puerto-cancun-c2322-55227717.html,"PUERTO CANCÚN 0,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 8,000,000",8000000.0,190,190,3,,,55227717
502,"Sls Marina Beach Cancun, Departamentos en Venta",https://www.inmuebles24.com/propiedades/sls-marina-beach-cancun-departamentos-en-venta-56008820.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 712,264",13205374.559999999,143,119,2,,,56008820
503,Depto en Venta en Residencial Puerta del Mar,https://www.inmuebles24.com/propiedades/depto-en-venta-en-residencial-puerta-del-mar-56182447.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 7,200,000",7200000.0,209,209,3,,2,56182447
504,Departamento Cancun Zona Hotelera Venta Oleo 02,https://www.inmuebles24.com/propiedades/departamento-cancun-zona-hotelera-venta-oleo-02-56021414.html,"Departamento Cancun Zona Hotelera Venta Oleo,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 250,000",4635000.0,45,45,1,,,56021414
505,Departamento en Renta/venta Isla Paraiso Zona Hotelera Cancun,https://www.inmuebles24.com/propiedades/departamento-en-renta-venta-isla-paraiso-zona-hotelera-57122035.html,"ISLA PARAISO,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 7,300,000",7300000.0,157,157,3,,2,57122035
506,Excelente Oportunidad de Inversion Frente Al Mar,https://www.inmuebles24.com/propiedades/excelente-oportunidad-de-inversion-frente-al-mar-56169371.html,"Excelente Oportunidad de Inversion Frente al mar,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 350,000",6489000.0,140,140,3,,,56169371
507,Condominio Lahia,https://www.inmuebles24.com/propiedades/condominio-lahia-55765982.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 1,150,000",21321000.0,232,232,3,,2,55765982
508,Departamento en Venta en Isla Dorada Cancún,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-isla-dorada-cancun-57037044.html,"Departamento en Venta en Isla Dorada Cancún/isla Paraíso,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 5,500,000",5500000.0,180,180,2,,,57037044
509,Venta de Departamento en Zona Hotelera 1 Rec Frente Al Mar,https://www.inmuebles24.com/propiedades/venta-de-departamento-en-zona-hotelera-1-rec-frente-al-54710586.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 595,000",11031300.0,250,250,0,,1,54710586
510,Departamento - Zona Hotelera Cancun,https://www.inmuebles24.com/propiedades/departamento-zona-hotelera-cancun-56471690.html,"Boulevard Kukulcan, Km.12.5, Residencial Isla Dorada, Isla Paraiso,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 320,000",5932800.0,180,180,3,,2,56471690
511,Venta Exclusivo Departamento en Zona Hotelera,https://www.inmuebles24.com/propiedades/venta-exclusivo-departamento-en-zona-hotelera-56379885.html,"Venta Exclusivo Departamento EN Zona Hotelera,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 749,000",13886460.0,175,175,3,,,56379885
512,Lujoso Departamento en Venta Frente Al Mar en Zona Hotelera Cancún,https://www.inmuebles24.com/propiedades/lujoso-departamento-en-venta-frente-al-mar-en-zona-54710674.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 3,000,000",55620000.0,750,750,4,,1,54710674
513,Departamento en Venta Puerto Cancun,https://www.inmuebles24.com/propiedades/departamento-en-venta-puerto-cancun-57303160.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 12,205,000",12205000.0,298,298,3,,2,57303160
514,Sls Harbour Beach Pre - Venta! C2354,https://www.inmuebles24.com/propiedades/sls-harbour-beach-pre-venta!-c2354-55437780.html,"Puerto cancún 0,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 1,550,000",28737000.0,326,326,4,,,55437780
515,Departamento de Lujo en Novo Cancún,https://www.inmuebles24.com/propiedades/departamento-de-lujo-en-novo-cancun-55514249.html,"Puerto Cancún,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 940,000",17427600.0,284,284,4,,2,55514249
516,Cancun Towers - Departamento en Venta / Apartment For Sale,https://www.inmuebles24.com/propiedades/cancun-towers-departamento-en-venta-apartment-for-55873445.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 5,600,000",5600000.0,174,174,2,,,55873445
517,Cancun Towers - Departamento en Venta / Apartment For Sale,https://www.inmuebles24.com/propiedades/cancun-towers-departamento-en-venta-apartment-for-57053694.html,"Bonampak Lote 7,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 6,950,000",6950000.0,211,211,3,,2,57053694
518,Villa Privada de Lujo en Aldea Zama,https://www.inmuebles24.com/propiedades/villa-privada-de-lujo-en-aldea-zama-56351208.html,"Villa Privada DE Lujo EN Aldea Zama,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 1,500,000",27810000.0,,,5,,,56351208
519,"Deptos de Lujo, Frente Al Mar / Luxurious, Beachfront Apts",https://www.inmuebles24.com/propiedades/deptos-de-lujo-frente-al-mar-luxurious-beachfront-56169553.html,"Deptos De Lujo, Frente al Mar / Luxurious, Beachfront Apts,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 595,029",11031837.66,153,153,1,,,56169553
520,Departamento Frente a La Playa de 3 Recámaras en Cancún  ,https://www.inmuebles24.com/propiedades/departamento-frente-a-la-playa-de-3-recamaras-en-56052080.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 880,000",16315200.0,256,256,3,,,56052080
521,"Departamento de Lujo en Venta Zona Hotelera Frente Al Mar $675,000 Usd",https://www.inmuebles24.com/propiedades/departamento-de-lujo-en-venta-zona-hotelera-frente-al-54944640.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 675,000",12514500.0,190,190,2,,2,54944640
522,"Pent House en Venta con Vista Al Mar, Ubicado en Lujosa Zona de Cancún, Mod. S - Ph1 ""Allure""",https://www.inmuebles24.com/propiedades/pent-house-en-venta-con-vista-al-mar-ubicado-en-55893957.html,"""ALLURE"". Azul Bonampak S-PH1,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 49,241,396",49241396.0,535,535,4,,,55893957
523,Venta de Departamento de Lujo en Cancún en Torre Laguna,https://www.inmuebles24.com/propiedades/venta-de-departamento-de-lujo-en-cancun-en-torre-56808948.html,"Venta de Departamento en Torre Laguna,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 195,010",3615485.4,,,1,,1,56808948
524,Penthouse con 4 Recamaras de Lujo en Venta en Puerto Cancun,https://www.inmuebles24.com/propiedades/penthouse-con-4-recamaras-de-lujo-en-venta-en-puerto-57273584.html,"Puerto Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 19,675,000",19675000.0,403,403,4,,2,57273584
525,Departamento - Zona Hotelera,https://www.inmuebles24.com/propiedades/departamento-zona-hotelera-56041636.html,"Porto Fino Zona Hotelera,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 700,000",12978000.0,180,180,2,,1,56041636
526,Departamento en Venta Puerto Cancun,https://www.inmuebles24.com/propiedades/departamento-en-venta-puerto-cancun-57303161.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 11,056,000",11056000.0,200,200,3,,2,57303161
527,Departamento en Venta en Cancun/zona Hotelera/bay View Grand,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-cancun-zona-hotelera-bay-view-57036731.html,"Departamento en Venta en Cancun Zona Hotelera/bay View Grand,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 600,000",11124000.0,90,90,2,,,57036731
528,"Venta Departamento, Be Towers",https://www.inmuebles24.com/propiedades/venta-departamento-be-towers-55413828.html,"Av. Bonampak Sm3 Mz3, Puerto Juarez, Zona Hotelera, 77500 Cancún, Q.R.,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 420,000",7786800.0,300,300,2,,2,55413828
529,Departamento en Venta en Cancun en Allure Puerto Cancun a Precio de Oportunidad,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-cancun-en-allure-puerto-55457042.html,"Allure Puerto Cancún,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 8,150,000",8150000.0,153,153,2,,2,55457042
530,Condominio de Lujo Frente Al Mar a La Venta en Lahia Cancun Zona Hotelera,https://www.inmuebles24.com/propiedades/condominio-de-lujo-frente-al-mar-a-la-venta-en-lahia-57262659.html,"Ave Kukulcan,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 28,500,000",28500000.0,275,275,3,,2,57262659
531,Preventa Departamentos Puerto Cancún (Dic 2018),https://www.inmuebles24.com/propiedades/preventa-departamentos-puerto-cancun-dic-2018-52364171.html,"Puerto Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 7,000,000",7000000.0,140,140,2,,2,52364171
532,Venta Precioso Departamento Frente Al Mar,https://www.inmuebles24.com/propiedades/venta-precioso-departamento-frente-al-mar-56379875.html,"Venta Precioso Departamento Frente AL MAR,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 1,300,000",24102000.0,210,210,3,,,56379875
533,Departamento en Venta Novo Cancun,https://www.inmuebles24.com/propiedades/departamento-en-venta-novo-cancun-53776124.html,"Novo Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 1,100,000",20394000.0,270,270,3,,2,53776124
534,Departamento en Venta en Cancún Zona Hotelera,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-cancun-zona-hotelera-57037229.html,"Departamento en Venta en Cancún Zona Hotelera,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 580,000",10753200.0,232,232,3,,,57037229
535,Departamento en Venta en Residencial Las Olas,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-residencial-las-olas-57124392.html,"RESIDENCIAL LAS OLAS ,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 46,000,000",46000000.0,286,286,3,,2,57124392
536,Departamento en Venta en Zona Hotelera Cancun Isla Dorada,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-zona-hotelera-cancun-isla-55973270.html,"Departamento en Venta en Zona Hotelera Cancun Isla Dorada,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 13,997,914",13997914.0,320,300,3,,3,55973270
537,Depar a Estrenar en Cancun,https://www.inmuebles24.com/propiedades/depar-a-estrenar-en-cancun-57340222.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 13,000,000",13000000.0,208,208,3,,3,57340222
538,"Lujoso Condo en Antaal Puerto Cancun $18,900,000 Mn",https://www.inmuebles24.com/propiedades/lujoso-condo-en-antaal-puerto-cancun-$18-900-000-mn-57247661.html,"Antaal Puerto Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 18,900,000",18900000.0,293,293,3,,2,57247661
539,Departamento en Preventa Cancun Quintana Roo,https://www.inmuebles24.com/propiedades/departamento-en-preventa-cancun-quintana-roo-57303179.html,"Ave. Antonio Enriquez savignac lote 04,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 4,350,000",4350000.0,110,110,2,,,57303179
540,Departamentos Preventa Torre Laguna,https://www.inmuebles24.com/propiedades/departamentos-preventa-torre-laguna-54433671.html,"isla dorada,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 3,528,705",3528705.0,75,75,1,,1,54433671
541,"Departamento de Lujo en Venta en Cancún Zona Hotelera, Torre Laguna",https://www.inmuebles24.com/propiedades/departamento-de-lujo-en-venta-en-cancun-zona-hotelera-56809135.html,"Departamento en Venta Trorre  Laguna  Zona Hotelera,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 192,587",3570562.98,,,1,,1,56809135
542,Departamento Residencial Kaanali en Venta Puerto Cancun,https://www.inmuebles24.com/propiedades/departamento-residencial-kaanali-en-venta-puerto-56809130.html,"Departamento Residencial Kaanali en Venta Puerto Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 13,234,329",13234329.0,,,3,,2,56809130
543,Pok Ta Pok Isla Bonita,https://www.inmuebles24.com/propiedades/pok-ta-pok-isla-bonita-55861710.html,"pok ta pok Isla Bonita,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 420,000",7786800.0,147,147,2,,2,55861710
544,Departamento en Venta en Cancún/zona Hotelera/emerald,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-cancun-zona-hotelera-emerald-57036682.html,"Departamento en Venta en Cancún/zona Hotelera/emerald,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 2,400,000",44496000.0,371,371,3,,2,57036682
545,Excelente Penthouse de 3 Recamaras Dentro de Puerto Cancun,https://www.inmuebles24.com/propiedades/excelente-penthouse-de-3-recamaras-dentro-de-puerto-53004846.html,"Puerto Cancún,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 15,300,000",15300000.0,298,298,3,,1,53004846
546,Departamento en Venta en Torre Laguna,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-torre-laguna-56809008.html,"Departamento en Venta en Torre Laguna,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 189,557",3514386.78,,,1,,,56809008
